,historical_sold,image,itemid,liked_count,name,price,price_max,price_min,shop_location,shopid,sold,stock,view_count
0,1057,https://cf.shopee.vn/file/e2c03c584afbb5cf8025a58854f9ecf1,6011072518,258,"[HÀNG SẴN - CHIẾT KHẤU CAO] SET QUÀ, HỘP MỨT TẾT CAO CẤP NHÂM DẦN 2022 - HỘP QUÀ TẾT XUÂN AN - THƯƠNG HIỆU NHÀ MỨT",359000,359000,359000,TP. Hồ Chí Minh,68846805,34,923,7423
1,424,https://cf.shopee.vn/file/a18b29885a30894ec58268c787f7e14b,7967789596,6111,"Set Quà Tết Xuân 2022 (Set Nặng Tay, Bao Hàng Chất Lượng) [FREE SHIP] TỪ ĐƠN 50K, [Loại Đặc Biệt] Hàng ngon nhà làm",110000,395000,110000,TP. Hồ Chí Minh,43978717,45,40948,9561
2,0,https://cf.shopee.vn/file/73ff24886f98efb4d98a6caf452c7702,10580152963,2,Giỏ quà tết 2022 xin xò,330000,330000,330000,Thái Nguyên,36378579,0,200,281
3,0,https://cf.shopee.vn/file/68471e76a7861874a59439ad65541c8c,11580417134,1,Giỏ quà Tết An Nhiên -Đoàn viên 🧧🐯🎁,175000,175000,175000,TP. Hồ Chí Minh,24107878,0,1,170
4,0,https://cf.shopee.vn/file/3a96f58df12c0e2ca1afd6e3d0939f41,13966378890,0,Giỏ Quà Tết -Shops cam kết Date mới 100%,690000,690000,690000,TP. Hồ Chí Minh,38926151,0,10,10
5,1662,https://cf.shopee.vn/file/dcae8451e6529ecb344ceb792981e746,10077603451,77,"Hộp Quà Tết [ Nhân Mứt Thượng Hạng ] - Hộp Mứt Tết Mix Set 8 Hũ Sang Trọng - Quà Tặng Doanh Nghiệp , Người Thân Tết",185000,245000,185000,Hà Nội,311815301,1678,3502,7292
6,0,https://cf.shopee.vn/file/75d7e8777b33238ceff607634b82d107,15030570565,0,Giỏ quà Tết -Shops cam kết Date mới 100%,655000,655000,655000,TP. Hồ Chí Minh,38926151,0,10,23
7,0,https://cf.shopee.vn/file/b88a1473cf770ce7d8b31ea309eeaadf,10280954487,0,[Quà Tết 6 loại hạt] Giỏ hạt quà Tết,550000,550000,550000,Khánh Hòa,345757054,0,100,7
8,0,https://cf.shopee.vn/file/14fb9d9757b834a3ff6d53e958ff944c,13066344579,0,Giỏ quà Tết - shops cam kết Date mới 100%,279000,279000,279000,TP. Hồ Chí Minh,38926151,0,10,17
9,1,https://cf.shopee.vn/file/3d9d56d6066cdff1825f83ae98bb10af,13858097026,1,Hộp quà Tết L'angfarm 2021 Phúc Lộc Thọ Langfarm - Nhất Tín Food,488000,488000,488000,TP. Hồ Chí Minh,276328968,1,996,502
10,0,https://cf.shopee.vn/file/f095995ae3029f9e974f771aeb24b56d,14229588350,2,[GIÁ RẺ] Giỏ Quà Tết dạng khay màu vàng,290000,290000,290000,Hà Nội,632203678,0,10,150
11,0,https://cf.shopee.vn/file/4059df909b68bdc76b8a468f428bf317,13566069630,2,[SANG TRỌNG] Giỏ Quà Tết truyền thống màu đỏ Phúc Lộc,580000,580000,580000,Hà Nội,632203678,0,10,121
12,0,https://cf.shopee.vn/file/39c4b916037ae9804c8737f0fdb52955,10780617422,0,Giỏ quà tết bánh kẹo nhập khẩu,780000,780000,780000,Vĩnh Phúc,167039695,0,280,182
13,10,https://cf.shopee.vn/file/15c5c8c711396be4849ff8a24106cb42,8597371685,13,"[SỈ TỪ 5] HỘP QUÀ, HỘP MỨT TẾT, SET QUÀ XUÂN NHÂM DẦN 2022 SANG TRỌNG - TRAO GỬI YÊU THƯƠNG ĐẾN BẠN BÈ, GIA ĐÌNH ĐỐI TÁC",349000,349000,349000,TP. Hồ Chí Minh,211893658,10,981,1019
